t,ch1,ch2,ch3
-5.98E-08,-0.02256,0.089328066,0.030830039
-5.88E-08,-0.01469,0.24743083,0.022924902
-5.78E-08,-0.02256,0.089328066,0.0071146246
-5.68E-08,-0.02256,0.089328066,0.0071146246
-5.58E-08,-0.01469,0.24743083,0.0071146246
-5.48E-08,-0.02256,0.24743083,0.022924902
-5.38E-08,-0.02256,0.089328066,0.015019763
-5.28E-08,-0.01469,-0.0687747,0.22845849
-5.18E-08,-0.02256,0.24743083,0.086166009
-5.08E-08,-0.01469,0.56363636,-0.00079051382
-4.98E-08,-0.02256,0.40553358,-0.024505928
-4.88E-08,-0.02256,0.089328066,0.015019763
-4.78E-08,-0.01469,0.089328066,0.030830039
-4.68E-08,-0.02256,0.40553358,0.015019763
-4.58E-08,-0.02256,0.24743083,0.0071146246
-4.48E-08,-0.02256,0.24743083,-0.00079051382
-4.38E-08,-0.00666,0.40553358,0.0071146246
-4.28E-08,-0.02256,0.24743083,0.015019763
