t,single,double,single,double
0.0000000869,0.008577079,0.011739135,0.011265,0.023122489
0.0000000871,0.007786565,0.009367593,0.007312,0.023122489
0.0000000873,0.008577079,0.008577079,0.007312,0.019169927
0.0000000875,0.007786565,0.010158107,0.007312,0.023122489
0.0000000877,0.008577079,0.009367593,0.00336,0.019169927
0.0000000879,0.006996051,0.008577079,0.007312,0.015217364
0.0000000881,0.007786565,0.009367593,0.007312,0.042885333
0.0000000883,0.007786565,0.008577079,0.007312,0.14565215
0.0000000885,0.006205536,0.006996051,0.011265,0.26027668
0.0000000887,0.006996051,0.007786565,0.00336,0.32351777
0.0000000889,0.007786565,0.007786565,-0.00059,0.29980236
0.0000000891,0.006205536,0.008577079,0.011265,0.24841896
0.0000000893,0.006205536,0.008577079,0.007312,0.21284583
0.0000000895,0.006996051,0.006996051,0.007312,0.16541499
0.0000000897,0.006205536,0.006996051,0.007312,0.12984186
0.0000000899,0.006205536,0.006205536,0.007312,0.11007902
0.0000000901,0.006996051,0.006996051,-0.00059,0.090316176
0.0000000903,0.007786565,0.007786565,0.00336,0.074505895
0.0000000905,0.006996051,0.006996051,0.00336,0.06660077
0.0000000907,0.005415022,0.006996051,0.007312,0.058695614
0.0000000909,0.006205536,0.007786565,-0.00059,0.042885333
0.0000000911,0.004624508,0.005415022,0.00336,0.034980208
0.0000000913,0.004624508,0.003833994,0.00336,0.034980208
0.0000000915,0.004624508,0.004624508,0.007312,0.031027645
0.0000000917,0.003833994,0.003833994,0.00336,0.027075082
0.0000000919,0.004624508,0.004624508,0.007312,0.027075082
0.0000000921,0.004624508,0.004624508,0.007312,0.023122489
0.0000000923,0.004624508,0.006205536,0.00336,0.027075082
0.0000000925,0.005415022,0.006996051,0.011265,0.027075082
0.0000000927,0.004624508,0.006996051,0.007312,0.019169927
0.0000000929,0.004624508,0.006205536,0.007312,0.019169927
0.0000000931,0.006205536,0.005415022,0.007312,0.019169927
0.0000000933,0.004624508,0.005415022,0.00336,0.023122489
0.0000000935,0.006205536,0.007786565,0.007312,0.023122489
0.0000000937,0.006205536,0.007786565,0.007312,0.023122489
0.0000000939,0.006205536,0.006996051,0.011265,0.019169927
0.0000000941,0.006996051,0.006996051,0.117984,0.050790489
0.0000000943,0.007786565,0.005415022,0.252372,0.17727271
0.0000000945,0.007786565,0.006205536,0.323518,0.2958498
0.0000000947,0.006205536,0.006996051,0.31166,0.33537549
0.0000000949,0.015691705,0.019644275,0.236561,0.2958498
0.0000000951,0.053636368,0.060750991,0.200988,0.23656124
0.0000000953,0.085256919,0.09316206,0.153557,0.19703555
0.0000000955,0.09711463,0.10343874,0.117984,0.14960471
0.0000000957,0.087628461,0.087628461,0.106126,0.1258893
0.0000000959,0.068656132,0.071027674,0.086364,0.10612646
0.0000000961,0.059169963,0.060750991,0.070553,0.086363614
0.0000000963,0.044940718,0.044940718,0.054743,0.074505895
0.0000000965,0.037035577,0.040197633,0.038933,0.062648207
0.0000000967,0.033873521,0.033873521,0.038933,0.046837926
0.0000000969,0.027549412,0.028339926,0.031028,0.042885333
0.0000000971,0.022806332,0.025177874,0.031028,0.031027645
0.0000000973,0.020434789,0.021225303,0.015217,0.034980208
0.0000000975,0.017272733,0.018063247,0.023122,0.031027645
0.0000000977,0.014110677,0.014110677,0.015217,0.027075082
0.0000000979,0.013320163,0.014901191,0.011265,0.023122489
0.0000000981,0.012529649,0.012529649,0.011265,0.023122489
0.0000000983,0.011739135,0.011739135,0.015217,0.023122489
0.0000000985,0.010158107,0.011739135,0.011265,0.019169927
0.0000000987,0.009367593,0.010158107,0.007312,0.023122489
0.0000000989,0.010158107,0.008577079,0.007312,0.011264801
0.0000000991,0.008577079,0.009367593,0.011265,0.011264801
0.0000000993,0.007786565,0.009367593,0.007312,0.019169927
0.0000000995,0.007786565,0.008577079,0.007312,0.023122489
0.0000000997,0.006996051,0.008577079,0.007312,0.015217364
0.0000000999,0.006996051,0.006996051,0.00336,0.03893277
0.0000001,0.006205536,0.007786565,-0.00059,0.14169958
0.0000001,0.006996051,0.008577079,0.011265,0.25237152
0.000000101,0.006996051,0.008577079,0.007312,0.31561261
0.000000101,0.006996051,0.008577079,0.007312,0.30375493
0.000000101,0.006205536,0.006996051,0.007312,0.24446638
0.000000101,0.006205536,0.007786565,0.007312,0.21284583
0.000000101,0.006996051,0.008577079,0.011265,0.17332014
0.000000102,0.006996051,0.007786565,0.00336,0.13379443
0.000000102,0.006205536,0.009367593,0.007312,0.11798418
0.000000102,0.005415022,0.008577079,0.00336,0.090316176
0.000000102,0.006205536,0.008577079,0.00336,0.078458458
0.000000102,0.006996051,0.008577079,-0.00059,0.062648207
0.000000103,0.005415022,0.006996051,-0.00059,0.054743052
0.000000103,0.004624508,0.006205536,0.00336,0.046837926
0.000000103,0.003833994,0.006996051,-0.00059,0.034980208
0.000000103,0.004624508,0.005415022,0.00336,0.034980208
0.000000103,0.004624508,0.004624508,-0.00059,0.031027645
0.000000104,0.003833994,0.005415022,0.00336,0.023122489
0.000000104,0.003833994,0.004624508,0.00336,0.027075082
0.000000104,0.004624508,0.003833994,0.00336,0.027075082
0.000000104,0.004624508,0.003833994,0.00336,0.023122489
0.000000104,0.005415022,0.004624508,0.00336,0.015217364
0.000000105,0.005415022,0.005415022,0.011265,0.023122489
0.000000105,0.005415022,0.006205536,0.00336,0.019169927
0.000000105,0.005415022,0.006205536,0.00336,0.019169927
0.000000105,0.006205536,0.005415022,0.007312,0.019169927
0.000000105,0.005415022,0.006205536,0.007312,0.023122489
0.000000106,0.006205536,0.007786565,0.00336,0.019169927
0.000000106,0.006996051,0.006996051,0.007312,0.011264801
0.000000106,0.006205536,0.007786565,0.102174,0.03893277
0.000000106,0.006996051,0.007786565,0.240514,0.17332014
0.000000106,0.006205536,0.006996051,0.319565,0.29189721
0.000000107,0.004624508,0.006205536,0.315613,0.33142292
0.000000107,0.012529649,0.018063247,0.240514,0.2958498
0.000000107,0.048893284,0.057588939,0.204941,0.23656124
0.000000107,0.083675891,0.091581032,0.15751,0.20098811
0.000000107,0.097905144,0.10264823,0.114032,0.1535573
0.000000108,0.086837947,0.090000004,0.102174,0.12193674
0.000000108,0.069446646,0.072608702,0.082411,0.10612646
0.000000108,0.060750991,0.061541505,0.066601,0.086363614
0.000000108,0.044940718,0.046521742,0.058696,0.070553333
0.000000108,0.037035577,0.040988147,0.042885,0.062648207
0.000000109,0.033873521,0.033873521,0.03498,0.042885333
0.000000109,0.026758894,0.027549412,0.031028,0.046837926
0.000000109,0.02438736,0.02438736,0.023122,0.034980208
0.000000109,0.021225303,0.020434789,0.023122,0.027075082
0.000000109,0.017272733,0.019644275,0.01917,0.027075082
0.00000011,0.014901191,0.016482219,0.01917,0.027075082
