t,ch1,ch2
1.14E-06,-0.22687747,0.007114625
1.14E-06,-0.38498023,-0.000790514
1.14E-06,0.089328066,0.007114625
1.14E-06,-0.0687747,-0.016600791
1.14E-06,-0.22687747,-0.008695652
1.14E-06,-0.0687747,-0.008695652
1.14E-06,-0.38498023,-0.016600791
1.14E-06,-0.38498023,-0.008695652
1.14E-06,-0.0687747,-0.016600791
1.14E-06,-0.38498023,-0.016600791
1.15E-06,-0.38498023,-0.016600791
1.15E-06,-0.22687747,-0.000790514
1.15E-06,-0.22687747,-0.016600791
1.15E-06,-0.38498023,-0.016600791
1.15E-06,-0.54308301,-0.016600791
1.15E-06,-0.22687747,-0.016600791
1.15E-06,-0.22687747,-0.000790514
1.15E-06,-0.0687747,-0.016600791
1.15E-06,-0.0687747,-0.016600791
1.15E-06,-0.22687747,-0.008695652
1.16E-06,-0.54308301,-0.032411069
1.16E-06,-0.22687747,-0.008695652
1.16E-06,-0.0687747,-0.016600791
1.16E-06,-0.38498023,0.007114625
1.16E-06,-0.38498023,-0.008695652
1.16E-06,-0.22687747,-0.016600791
1.16E-06,-0.22687747,-0.016600791
1.16E-06,-0.22687747,-0.016600791
1.16E-06,-0.54308301,-0.024505928
1.16E-06,-0.22687747,-0.016600791
1.17E-06,-0.38498023,-0.016600791
1.17E-06,-0.38498023,-0.016600791
1.17E-06,-0.38498023,-0.008695652
1.17E-06,-0.38498023,-0.016600791
1.17E-06,-0.22687747,-0.016600791
1.17E-06,-0.38498023,-0.008695652
1.17E-06,-0.22687747,-0.008695652
1.17E-06,-0.54308301,-0.016600791
1.17E-06,-0.38498023,-0.008695652
1.17E-06,-0.22687747,-0.016600791
1.18E-06,-0.54308301,-0.016600791
1.18E-06,-0.70118576,-0.016600791
1.18E-06,-0.38498023,-0.024505928
1.18E-06,-0.22687747,-0.008695652
1.18E-06,-0.38498023,-0.000790514
1.18E-06,-0.54308301,-0.016600791
1.18E-06,-0.54308301,-0.000790514
1.18E-06,-0.54308301,0.007114625
1.18E-06,-0.38498023,-0.016600791
1.18E-06,-0.38498023,-0.008695652
1.19E-06,-0.0687747,-0.000790514
1.19E-06,-0.38498023,-0.008695652
1.19E-06,-0.38498023,-0.008695652
1.19E-06,-0.22687747,-0.008695652
1.19E-06,-0.38498023,-0.000790514
1.19E-06,-0.70118576,-0.008695652
1.19E-06,-0.38498023,-0.008695652
1.19E-06,-0.38498023,-0.000790514
1.19E-06,-0.54308301,0.015019763
1.19E-06,-0.22687747,0.007114625
1.20E-06,-0.22687747,-0.000790514
1.20E-06,-0.54308301,-0.000790514
1.20E-06,-0.38498023,-0.000790514
1.20E-06,-0.54308301,-0.008695652
1.20E-06,-0.54308301,0.015019763
1.20E-06,-0.70118576,-0.008695652
1.20E-06,-0.38498023,-0.000790514
1.20E-06,-0.38498023,-0.000790514
1.20E-06,-0.54308301,0.007114625
1.20E-06,-0.54308301,-0.000790514
1.21E-06,-0.54308301,0.015019763
1.21E-06,-0.70118576,0.015019763
1.21E-06,-0.38498023,0.015019763
1.21E-06,-0.70118576,0.022924902
1.21E-06,-0.54308301,0.007114625
1.21E-06,-0.38498023,0.015019763
1.21E-06,-0.38498023,-0.000790514
1.21E-06,-0.54308301,0.015019763
1.21E-06,-0.38498023,0.015019763
1.21E-06,-0.22687747,-0.000790514
1.22E-06,-0.54308301,-0.000790514
1.22E-06,-0.38498023,0.015019763
1.22E-06,-0.54308301,0.030830039
1.22E-06,-0.54308301,0.022924902
1.22E-06,-0.22687747,0.015019763
1.22E-06,-0.54308301,-0.000790514
1.22E-06,-0.38498023,0.007114625
1.22E-06,-0.38498023,0.015019763
1.22E-06,-0.54308301,0.007114625
1.22E-06,-0.38498023,0.007114625
1.23E-06,-0.38498023,-0.000790514
1.23E-06,-0.38498023,0.015019763
1.23E-06,-0.70118576,0.015019763
1.23E-06,-0.22687747,0.015019763
1.23E-06,-0.54308301,0.030830039
1.23E-06,-0.54308301,0.022924902
1.23E-06,-0.54308301,-0.000790514
1.23E-06,-0.22687747,0.007114625
1.23E-06,-0.38498023,0.015019763
1.23E-06,-0.54308301,0.007114625
