t,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
0.011583147,1.9372332,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138,0.039999999,0.039999999,0.11905138
0.011583297,3.360158,0.11905138,0.11905138,0.039999999,0.11905138,-0.039051384,0.039999999,-0.039051384,0.11905138,-0.039051384
0.011583448,0.67241108,0.19810277,0.039999999,0.039999999,0.19810277,-0.039051384,0.11905138,0.039999999,0.11905138,0.039999999
0.011583598,-1.3829249,0.11905138,0.11905138,0.039999999,0.11905138,0.039999999,0.039999999,0.039999999,0.11905138,0.11905138
0.011583748,-0.9086166,0.11905138,-0.039051384,0.039999999,0.11905138,0.19810277,0.11905138,0.11905138,0.11905138,-0.039051384
0.011583898,0.4352569,0.039999999,0.039999999,0.27715415,0.039999999,0.11905138,0.039999999,0.11905138,0.11905138,0.039999999
0.011584048,0.59335971,0.11905138,0.19810277,0.11905138,0.11905138,0.11905138,0.039999999,0.11905138,-0.039051384,0.039999999
0.011584199,-0.11810277,0.19810277,-0.039051384,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138,0.11905138
0.011584349,0.039999999,0.11905138,0.11905138,0.11905138,0.039999999,-0.039051384,0.11905138,-0.039051384,0.11905138,0.19810277
0.011584499,0.11905138,0.11905138,0.11905138,0.11905138,0.039999999,0.039999999,0.039999999,0.11905138,0.19810277,0.039999999
0.011584649,0.039999999,0.11905138,0.039999999,0.039999999,0.11905138,0.19810277,0.19810277,-0.039051384,0.11905138,0.039999999
0.011584799,0.039999999,0.11905138,0.11905138,0.039999999,0.039999999,0.11905138,0.11905138,0.039999999,0.11905138,0.039999999
0.01158495,0.039999999,0.11905138,0.11905138,-0.039051384,0.039999999,0.11905138,0.039999999,0.11905138,0.19810277,0.19810277
0.0115851,0.11905138,0.27715415,0.19810277,-0.039051384,0.11905138,-0.039051384,0.039999999,0.039999999,0.039999999,0.039999999
0.01158525,0.11905138,0.11905138,0.11905138,0.11905138,0.19810277,0.11905138,0.039999999,0.039999999,0.039999999,0.19810277
